# Determined from WSA steel production, consumption, imports, and exports data; only includes trade between countries in different GCAM regions
GCAM_region,year,metric,value
Europe_Non_EU,1970,production,2.8846276762
Africa_Northern,1970,production,0.581
Africa_Southern,1970,production,0.374
Argentina,1970,production,1.823
Central Asia,1970,production,7.0908716227
Australia_NZ,1970,production,6.996
EU-15,1970,production,161.988
Middle East,1970,production,0.089
South Asia,1970,production,0
Europe_Eastern,1970,production,42.711230188799995
Africa_Western,1970,production,0
South America_Southern,1970,production,0.702
Brazil,1970,production,5.39
EU-12,1970,production,35.459280555987
Canada,1970,production,11.2
China,1970,production,18.1
Colombia,1970,production,0.31
Central America and Caribbean,1970,production,0.14
Africa_Eastern,1970,production,0
European Free Trade Association,1970,production,1.3940000000000001
India,1970,production,6.276
Indonesia,1970,production,0.01
Japan,1970,production,93.322
Southeast Asia,1970,production,2.681
Mexico,1970,production,3.881
Pakistan,1970,production,0
Russia,1970,production,65.83931763
South Africa,1970,production,4.757
South Korea,1970,production,0.481
Taiwan,1970,production,0.35
USA,1970,production,119.307
South America_Northern,1970,production,0.927
Europe_Non_EU,1971,production,2.9664429711
Africa_Northern,1971,production,0.5680000000000001
Africa_Southern,1971,production,0.439
Argentina,1971,production,1.915
Central Asia,1971,production,7.381577411
Australia_NZ,1971,production,6.897
EU-15,1971,production,153.06
Middle East,1971,production,0.10700000000000001
South Asia,1971,production,0
Europe_Eastern,1971,production,44.462270481299996
Africa_Western,1971,production,0
South America_Southern,1971,production,0.848
Brazil,1971,production,5.997
EU-12,1971,production,37.486627670799
Canada,1971,production,11.04
China,1971,production,21.105
Colombia,1971,production,0.325
Central America and Caribbean,1971,production,0.16
Africa_Eastern,1971,production,0
European Free Trade Association,1971,production,1.415
India,1971,production,6.101
Indonesia,1971,production,0.01
Japan,1971,production,88.557
Southeast Asia,1971,production,2.956
Mexico,1971,production,3.821
Pakistan,1971,production,0
Russia,1971,production,68.53854444
South Africa,1971,production,4.881
South Korea,1971,production,0.472
Taiwan,1971,production,0.47
USA,1971,production,109.264
South America_Northern,1971,production,0.924
Europe_Non_EU,1972,production,3.3837321481
Africa_Northern,1972,production,0.681
Africa_Southern,1972,production,0.462
Argentina,1972,production,2.151
Central Asia,1972,production,7.684582056299999
Australia_NZ,1972,production,6.908
EU-15,1972,production,166.625
Middle East,1972,production,0.137
South Asia,1972,production,0
Europe_Eastern,1972,production,46.2873918249
Africa_Western,1972,production,0
South America_Southern,1972,production,0.825
Brazil,1972,production,6.518
EU-12,1972,production,39.859869001546
Canada,1972,production,11.863
China,1972,production,23.11
Colombia,1972,production,0.373
Central America and Caribbean,1972,production,0.185
Africa_Eastern,1972,production,0
European Free Trade Association,1972,production,1.459
India,1972,production,6.858
Indonesia,1972,production,0.03
Japan,1972,production,96.9
Southeast Asia,1972,production,3.341
Mexico,1972,production,4.431
Pakistan,1972,production,0
Russia,1972,production,71.35196712
South Africa,1972,production,5.337
South Korea,1972,production,0.586
Taiwan,1972,production,0.54
USA,1972,production,120.874
South America_Northern,1972,production,1.128
Europe_Non_EU,1973,production,3.2428432412
Africa_Northern,1973,production,0.8600000000000001
Africa_Southern,1973,production,0.5
Argentina,1973,production,2.205
Central Asia,1973,production,8.0451037375
Australia_NZ,1973,production,7.889
EU-15,1973,production,179.85
Middle East,1973,production,0.385
South Asia,1973,production,0
Europe_Eastern,1973,production,48.4589618863
Africa_Western,1973,production,0
South America_Southern,1973,production,0.917
Brazil,1973,production,7.15
EU-12,1973,production,41.90133422785
Canada,1973,production,13.388
China,1973,production,26.115
Colombia,1973,production,0.362
Central America and Caribbean,1973,production,0.22
Africa_Eastern,1973,production,0
European Free Trade Association,1973,production,1.547
India,1973,production,6.889
Indonesia,1973,production,0.05
Japan,1973,production,119.322
Southeast Asia,1973,production,3.831
Mexico,1973,production,4.76
Pakistan,1973,production,0
Russia,1973,production,74.69944015
South Africa,1973,production,5.722
South Korea,1973,production,1.157
Taiwan,1973,production,0.535
USA,1973,production,136.802
South America_Northern,1973,production,1.063
Europe_Non_EU,1974,production,3.591775229
Africa_Northern,1974,production,0.8049999999999999
Africa_Southern,1974,production,0.5
Argentina,1974,production,2.353
Central Asia,1974,production,8.3338515002
Australia_NZ,1974,production,8.007
EU-15,1974,production,186.933
Middle East,1974,production,0.727
South Asia,1974,production,0
Europe_Eastern,1974,production,50.198208173999994
Africa_Western,1974,production,0
South America_Southern,1974,production,1.129
Brazil,1974,production,7.515
EU-12,1974,production,43.689343805764004
Canada,1974,production,12.623
